date,order_count
2023-11-13,224.0
2023-11-14,139.0
2023-11-15,171.0
2023-11-16,198.0
2023-11-17,206.0
2023-11-18,295.0
2023-11-19,277.0
2023-11-20,241.0
2023-11-21,
2023-11-22,156.0
2023-11-23,119.0
2023-11-24,200.0
2023-11-25,299.0
2023-11-26,218.0
2023-11-27,191.0
2023-11-28,178.0
2023-11-29,172.0
2023-11-30,178.0
2023-12-01,177.0
2023-12-02,346.0
2023-12-03,204.0
2023-12-04,218.0
2023-12-05,156.0
2023-12-06,131.0
2023-12-07,150.0
2023-12-08,213.0
2023-12-09,223.0
2023-12-10,281.0
2023-12-11,206.0
2023-12-12,126.0
2023-12-13,124.0
2023-12-14,172.0
2023-12-15,163.0
2023-12-16,257.0
2023-12-17,
2023-12-18,179.0
2023-12-19,179.0
2023-12-20,117.0
2023-12-21,165.0
2023-12-22,209.0
2023-12-23,241.0
2023-12-24,202.0
2023-12-25,181.0
2023-12-26,196.0
2023-12-27,187.0
2023-12-28,176.0
2023-12-29,241.0
2023-12-30,278.0
2023-12-31,235.0
